기간,유치원(교원)(남),유치원(교원)(여),유치원(사무직원)(남),유치원(사무직원)(여),초등학교(교원)(남),초등학교(교원)(여),초등학교(사무직원)(남),초등학교(사무직원)(여),중학교(교원)(남),중학교(교원)(여),중학교(사무직원)(남),중학교(사무직원)(여),고등학교(교원)(남),고등학교(교원)(여),고등학교(사무직원)(남),고등학교(사무직원)(여),전문대학(교원)(남),전문대학(교원)(여),전문대학(사무직원)(남),전문대학(사무직원)(여),대학(교)(교원)(남),대학(교)(교원)(여),대학(교)(사무직원)(남),대학(교)(사무직원)(여),특수학교(교원)(남),특수학교(교원)(여),특수학교(사무직원)(남),특수학교(사무직원)(여),학교경영기관(사무직원)(남),학교경영기관(사무직원)(여)
23년 미만,7188689,5889336,4733195,3808548,7001889,6881193,5730099,5492593,6254909,6171577,4944157,4886815,6402733,6109536,5041420,4728874,7258770,6719151,5769683,4953865,8129302,7864060,6289585,5691814,6491105,6341323,5004466,4813695,6572757,5970798
24년 미만,6846802,5371042,6375636,4700187,7298647,6807648,5608707,5013638,6399195,6255371,5104630,5125286,6533180,6272764,5257315,4982939,7347608,6796763,5914111,5618394,8183715,8074156,6316437,5992001,6550594,6412495,4784892,5161457,6981816,5771694
25년 미만,8480000,6108048,5904400,5525399,7482199,7100923,4586342,6025919,6507894,6400629,5243434,5032558,6643037,6357169,5320121,5198966,7328375,7066562,6164173,5469978,8236518,8125093,6625255,6120567,6576087,6610006,4980491,5313921,6935433,6452544
26년 미만,6329077,5551984,7938733,,7224684,7482567,5328537,5611765,6683336,6504376,5199433,5233993,6739521,6497198,5445799,5295838,7348191,7281969,6290354,5582690,8221138,7997956,6738876,6322219,6708858,6757381,5416678,5055062,6619586,6542282
27년 미만,7449911,5453263,,4718891,7651612,7492078,6693636,5627792,6784980,6591336,5444206,5393308,6896532,6566304,5823527,5305099,7306693,7196201,6437483,5836536,8257121,8135355,6873911,6229318,7038572,6883086,5217772,5336546,7297740,7250913
28년 미만,,6239012,3169916,,7939273,7644764,5987341,5790443,6903668,6739388,5349471,5390200,7001748,6736981,5751909,5474254,7390197,7201666,6517696,5837015,8279332,8068225,6964079,6368995,7082670,6893767,5302176,5600273,7851559,7045093
29년 미만,,6455599,5531889,,7997734,7486860,6075269,6291158,6964445,6851989,5509451,5314537,7082375,6883388,5862734,5510351,7578929,7779229,6677844,6088703,8296561,8224584,7128916,6481035,7152625,7097886,5432041,5224860,7442141,6848738
30년 미만,,6962373,6760538,,7707393,7862500,7023364,6042047,7044073,6957071,5710956,5431543,7167870,7003639,6039321,5696352,7573124,7692474,6977738,6451008,8308782,8195151,7175216,6606724,7256491,7223343,5916190,5201085,7917201,
31년 미만,,6899187,6955980,,8030789,7931583,7184255,6306230,7183350,7088049,5979317,5773794,7264705,7101682,6169136,5748784,7839665,7423733,6893621,5910609,8328535,8165578,7396558,6616309,7390021,7345124,5597128,5766404,7846102,7099094
32년 미만,8364051,6756700,,,7821341,8032381,6448975,6563118,7270933,7208045,6092629,5853986,7373860,7231266,6304581,6004945,7732861,7482827,6991730,6756439,8330435,8144366,7370124,6791034,7440321,7440032,6168914,5085072,7895997,7755048
33년 미만,,6523893,,,8234505,8071426,,6478593,7372186,7303040,5879457,5921083,7419215,7306126,6541126,6150610,7768283,7750897,7680252,6863672,8299668,7993648,7328477,6880509,7422543,7454184,5543832,5877811,8409298,5715908
33년 이상,,7204702,7331033,,8306763,8268082,6683696,6861708,7591773,7541120,5955162,5909487,7624217,7550792,6509591,6309148,8005243,7791458,7469904,7281245,8302037,8258530,7521908,7123307,7765613,7649123,6203985,6418030,7933142,7933700
